Negara;Kematian_anak;Ekspor;Kesehatan;Impor;Pendapatan;Inflasi;Harapan_hidup;Jumlah_fertiliti;GDPperkapita
Lesotho;99.07.00;39.04.00;11.01;101;2380;04.15;46.05.00;03.03;1170
Liberia;89.03.00;19.01;11.08;92.06.00;700;05.47;60.08.00;05.02;327
Libya;16.06;65.06.00;0,186111111;42.01.00;29600;14.02;76.01.00;02.41;12100
Lithuania;06.01;65.03.00;07.04;67.02.00;21100;02.38;73.02.00;01.05;12000
Luxembourg;02.08;175;0,345138889;142;91700;0,168055556;81.03.00;0,085416667;105000
Macedonia FYR;10.04;39.08.00;07.09;58.01.00;11400;02.04;74;01.47;4540
Madagascar;62.02.00;25;0,178472222;43;1390;0,388194444;60.08.00;04.06;413
Malawi;90.05.00;22.08;06.59;34.09.00;1030;12.01;53.01.00;05.31;459
Malaysia;07.09;86.09.00;04.39;71;21100;07.27;74.05.00;02.15;9070
Maldives;13.02;77.06.00;06.33;65.04.00;10500;0,144444444;77.09.00;02.23;7100
Mali;137;22.08;0,234722222;35.01.00;1870;04.37;59.05.00;06.55;708
Malta;06.08;153;0,378472222;154;28300;0,182638889;80.03.00;01.36;21100
Mauritania;97.04.00;50.07.00;04.41;61.02.00;3320;18.09;68.02.00;0,234722222;1200
Mauritius;15;51.02.00;6;62.02.00;15900;01.13;73.04.00;01.57;8000
Micronesia  Fed. Sts.;40;23.05;14.02;81;3340;03.08;65.04.00;03.46;2860
Moldova;17.02;39.02.00;11.07;78.05.00;3910;11.01;69.07.00;01.27;1630
Mongolia;26.01.00;46.07.00;05.44;56.07.00;7710;39.02.00;66.02.00;0,127777778;2650
Montenegro;06.08;37;09.11;62.07.00;14000;01.06;76.04.00;0,095138889;6680
Morocco;33.05.00;32.02.00;05.02;43;6440;0,677777778;73.05.00;02.58;2830
Mozambique;101;31.05.00;05.21;46.02.00;918;0,336111111;54.05.00;05.56;419
Myanmar;64.04.00;0,075694444;0,109027778;0,457638889;3720;07.04;66.08.00;02.41;988
Namibia;56;47.08.00;0,304166667;60.07.00;8460;03.56;58.06.00;03.06;5190
Nepal;47;09.58;05.25;36.04.00;1990;15.01;68.03.00;0,125694444;592
Netherlands;04.05;72;11.09;63.06.00;45500;0,588888889;80.07.00;0,096527778;50300
New Zealand;06.02;30.03.00;10.01;28;32300;0,175694444;80.09.00;02.17;33700
Niger;123;22.02;05.16;49.01.00;814;02.55;58.08.00;07.49;348
Nigeria;130;25.03.00;05.07;17.04;5150;104;60.05.00;0,266666667;2330
Norway;03.02;39.07.00;09.48;28.05.00;62300;0,274305556;81;0,107638889;87800
Oman;11.07;65.07.00;0,136805556;41.02.00;45300;15.06;76.01.00;02.09;19300
Pakistan;92.01.00;13.05;02.02;19.04;4280;10.09;65.03.00;0,184027778;1040
Panama;19.07;70;08.01;78.02.00;15400;02.59;77.08.00;0,126388889;8080
Paraguay;24.01.00;55.01.00;0,26875;51.05.00;7290;06.01;74.01.00;0,134027778;3230
Peru;20.03;27.08.00;05.08;23.08;9960;0,257638889;77.09.00;02.54;5020
Philippines;31.09.00;34.08.00;0,167361111;36.06.00;5600;04.22;69;03.16;2130
Poland;6;40.01.00;07.46;42.01.00;21800;0,0875;76.03.00;01.41;12600
Portugal;03.09;29.09.00;11;37.04.00;27200;0,446527778;79.08.00;01.39;22500
Qatar;9;62.03.00;0,097916667;23.08;125000;0,318055556;79.05.00;02.07;70300
Romania;11.05;32.06.00;05.58;38.08.00;17800;03.53;73.07.00;01.59;8230
Russia;10;29.02.00;05.08;21.01;23100;14.02;69.02.00;01.57;10700
Rwanda;63.06.00;12;10.05;30;1350;0,125694444;64.06.00;04.51;563
Samoa;18.09;29.02.00;06.47;53.01.00;5400;0,091666667;71.05.00;04.34;3450
Saudi Arabia;15.07;49.06.00;04.29;33;45400;17.02;75.01.00;0,15;19300
Senegal;66.08.00;24.09.00;0,254166667;40.03.00;2180;0,100694444;64;05.06;1000
Serbia;07.06;32.09.00;10.04;47.09.00;12700;0,269444444;74.07.00;01.04;5410
Seychelles;14.04;93.08.00;03.04;108;20400;-4.21;73.04.00;02.17;10800
Sierra Leone;160;16.08;13.01;34.05.00;1220;17.02;55;05.02;399
Singapore;02.08;200;0,191666667;174;72100;-0.046;82.07.00;01.15;46600
Slovak Republic;7;76.03.00;0,388194444;77.08.00;25200;0,336805556;75.05.00;01.43;16600
Slovenia;03.02;64.03.00;09.41;62.09.00;28700;-0.987;79.05.00;01.57;23400
Solomon Islands;28.01.00;49.03.00;08.55;81.02.00;1780;0,30625;61.07.00;04.24;1290
South Africa;53.07.00;28.06.00;0,398611111;27.04.00;12000;06.35;54.03.00;02.59;7280
South Korea;04.01;49.04.00;0,314583333;46.02.00;30400;03.16;80.01.00;01.23;22100
Spain;03.08;25.05.00;09.54;26.08.00;32500;00.16;81.09.00;01.37;30700
Sri Lanka;11.02;19.06;0,148611111;26.08.00;8560;22.08;74.04.00;02.02;2810
St. Vincent and the Grenadines;20.07;26.09.00;04.47;57.01.00;9920;04.44;71.06.00;02.07;6230
Sudan;76.07.00;19.07;06.32;17.02;3370;19.06;66.03.00;0,227777778;1480
Suriname;24.01.00;52.05.00;07.01;38.04.00;14200;07.02;70.03.00;02.52;8300
Sweden;3;46.02.00;0,41875;40.07.00;42900;0,688194444;81.05.00;0,109722222;52100
Switzerland;04.05;64;11.05;53.03.00;55500;0,220138889;82.02.00;01.52;74600
Tajikistan;52.04.00;14.09;0,276388889;58.06.00;2110;12.05;69.06.00;03.51;738
Tanzania;71.09.00;18.07;06.01;29.01.00;2090;09.25;59.03.00;05.43;702
Thailand;14.09;66.05.00;0,186111111;60.08.00;13500;04.08;76.06.00;01.55;5080
Timor-Leste;62.06.00;02.02;09.12;27.08.00;1850;26.05.00;71.01.00;06.23;3600
Togo;90.03.00;40.02.00;0,336805556;57.03.00;1210;01.18;58.07.00;0,227083333;488
Tonga;17.04;12.04;05.07;60.03.00;4980;0,172222222;69.09.00;0,188194444;3550
Tunisia;17.04;50.05.00;06.21;55.03.00;10400;0,181944444;76.09.00;02.14;4140
Turkey;19.01;20.04;0,301388889;25.05.00;18000;07.01;78.02.00;02.15;10700
Turkmenistan;62;76.03.00;02.05;44.05.00;9940;02.31;67.09.00;0,140972222;4440
Uganda;81;17.01;09.01;28.06.00;1540;10.06;56.08.00;06.15;595
Ukraine;11.07;47.01.00;0,341666667;51.01.00;7820;13.04;70.04.00;01.44;2970
United Arab Emirates;08.06;77.07.00;0,170833333;63.06.00;57600;12.05;76.05.00;0,102083333;35000
United Kingdom;05.02;28.02.00;0,419444444;30.08.00;36200;01.57;80.03.00;0,105555556;38900
United States;07.03;12.04;17.09;15.08;49400;01.22;78.07.00;0,10625;48400
Uruguay;10.06;26.03.00;08.35;25.04.00;17100;0,229861111;76.04.00;02.08;11900
Uzbekistan;36.03.00;31.07.00;0,264583333;28.05.00;4240;16.05;68.08.00;02.34;1380
Vanuatu;29.02.00;46.06.00;05.25;52.07.00;2950;0,126388889;63;03.05;2970
Venezuela;17.01;28.05.00;0,229861111;17.06;16500;45.09.00;75.04.00;02.47;13500
Vietnam;23.03;72;0,308333333;80.02.00;4490;12.01;73.01.00;0,107638889;1310
Yemen;56.03.00;30;05.18;34.04.00;4480;23.06;67.05.00;0,213194444;1310
Zambia;83.01.00;37;0,270138889;30.09.00;3280;14;52;05.04;1460
